L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Ingredients
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Soup Pieces, 900 g Pouch","Fresho Meats is our in house brand of fresh meat, poultry and seafood.
We take utmost care in selecting the best suppliers to provide you with high quality and succulent products.
Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.
Additionally, every product is packed using food grade plastic which provides a nourishing and wholesome environment.
Chef special marination which is very authentic and has a fragnence which will delight your pallet, its a mixture of exotic flavour & Indian spices.",900 g Pouch,g,900 g Pouch,1,1,103,103,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,40163311,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cut and use.,"EAN Code': '40163311, Country Of Origin': 'India, FSSAI Number': '13618034000225, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,Fresh Chicken
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Thigh Boneless, Without Skin, 1 kg","Chicken is healthier without the fatty skin. Fresho skinless chicken pieces provides immense value for restaurants, catering, outdoor grilling and family meals, as it has no extra hormones or steroids and it is effortless to cook.",1 kg,kg,1 kg,1,1,1013,1013,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,40085976,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Chicken is used to make soups, kebabs, vindaloos, biryani and curries. It is used in salads, burgers, sandwiches and the like","EAN Code': '40085976, Country Of Origin': 'India, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Thigh, With Skin, 1 kg","Chicken is used to make soups, vindaloos, kebabs, biryani and curries. It is used in salads, sandwiches, burgers and the likes. Chicken is packed with food grade plastic which provides nourish and natural environment. It also contains niacin, phosphorous and selenium. It is low in cholesterol and fat and is carb-free",1 kg,kg,1 kg,1,1,532,332,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,40085982,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Chicken is used to make soups, kebabs, vindaloos, biryani and curries. It is used in salads, burgers, sandwiches and the like","EAN Code': '40085982, Country Of Origin': 'India, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Thigh, Without Skin, 1 kg","Chicken is healthier without the fatty skin. Fresho skinless chicken pieces provides immense value for restaurants, catering, outdoor grilling and family meals, as it has no extra hormones or steroids and it is effortless to cook.",1 kg,kg,1 kg,1,1,584,368,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,40085973,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Chicken is used to make soups, kebabs, vindaloos, biryani and curries. It is used in salads, burgers, sandwiches and the like","EAN Code': '40085973, Country Of Origin': 'India, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Whole Body, 1 kg","Fresho Meats is our in house brand of fresh meat, poultry and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene. Additionally, every product is packed using food grade plastic which provides a nourishing and wholesome environment.",1 kg,kg,1 kg,1,1,129,129,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,40107520,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40107520, Country Of Origin': 'India, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767, ints, Contact our Customer Care Executive at': 'Phone:1860 123 1000 | :Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, ","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Whole Breast, 250 g","Fresho Meats is our in house brand of fresh meat, poultry and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene. Additionally, every product is packed using food grade plastic which provides a nourishing and wholesome environment. Freshly processed Chicken Whole Breast.",250 g,g,250 g,1,1,142,89,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,40048917,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40048917, Country Of Origin': 'India, Sourced & marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767, ints, Contact our Customer Care Executive at': 'Phone:1860 123 1000 | :Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, ","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Wings, Antibiotic Residue-Free, 4 To 6 pcs, 250 g","Net Weight Number of Pcs Serving Size Storage Temp
250 g 4 to 6 pcs 3-4 people 0-4 deg Celsius
Chicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. 
Chicken wings are one of the favourite pieces of most people. These super tender, succulent, and very flavorful whole wings can be cooked in a lot of ways. Grilled, fried, barbeques, do whatever pleases your taste buds. Perfectly cooked chicken wings are also great for diabetes and arthritis. This comes in 4-6 pieces which are enough for 3-4 people. 
The Add-on Benefits of Fresho Chicken:
 Free from antibiotic residue 
 No growth hormone 
Fresho Meats is our in-house brand of fresh meat, poultry, and seafood. We take the utmost care in selecting the best suppliers to provide you with high quality succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.",250 g,g,250 g,6,1,142,142,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,10000923,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '10000923, Country of Origin': 'India, FSSAI Number': '10019043002767",-,-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - With Skin Curry Cut, Antibiotic Residue-Free, 25 To 30 pcs, 1 kg","Net Weight Number of Pcs Serving Size Storage Temp
1 kg Pieces per pack is 25 To 30 (2 drumsticks, 2 to 4 thigh pieces, 4 to 6 breast pieces, 4 to 6 pieces of rib portions and 4 to 6 pcs of top portions. 4-6 people 0-4 deg Celsius
Chicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. 
Chicken curry is one of the favourite non-veg dishes in most Indian households. Fresho Chicken curry cut is carved into perfect pieces to give you the ideal portion for your curries. This scrumptious skin chicken pieces come in 22-26 in numbers which are perfect for 4-6 people. 
The Add-on Benefits of Fresho Chicken: 
Free from antibiotic residue 
No growth hormone 
Fresho Meats is our in-house brand of fresh meat, poultry, and seafood.
We take the utmost care in selecting the best suppliers to provide you with high quality succulent products.
Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.",1 kg,kg,1 kg,30,1,415,415,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,40085990,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Chicken is used to make soups, kebabs, vindaloos, biryani, and curries.
It is used in salads, burgers, sandwiches, and the like.","EAN Code': '40085990, Country of Origin': 'India, Sourced & marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken 1 kg + BB Royal Biryani Basmati Rice - Extra Long 1 kg Pouch, Combo 2 Items","Fresho Chicken 1 kg
Net Weight Number Of Pcs Serving Size Storage Temp
1 kg Pieces per pack is 18 to 22 (2 drumsticks, 2 to 4 thigh pieces, 4 to 6 breast pieces, 4 to 6 pieces of rib portions and 4 to 6 pcs of top portions 4-6 people 0-4 deg cel
Chicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. 
Chicken curry is one of the favourite non-veg dishes in most Indian households. Fresho Chicken curry cut is carved into perfect pieces to give you the ideal portion for your curries. These scrumptious skinless chicken pieces come in 24-28 in numbers which are perfect for 4-6 people. 
The Add-on Benefits of Fresho Chicken: 
 Free from antibiotic residue 
 No growth hormone 
Fresho Meats is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high-quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.

BB Royal Biryani Basmati Rice - Extra Long 1 kg Pouch
The long grains and aromatic splendor of the BB Royal Biryani Basmati Rice are perfect for cooking various types of Pulao, Fried Rice and especially Biriyani. These extra-long grains will cook up as separate fluffy grains every time and are ideal for your one-pot dishes like biryanis and pulao. It is extra-long rice that is aged to perfection and is delicious in taste.
Benefits:
Basmati is gluten-free and low in fat. It contains all eight essential amino acids, folic acid, and is very low in sodium and has no cholesterol.
Basmati has a low to the medium glycemic index, which is released at a slower, steadier rate leading to a more balanced level of energy.",Combo 2 Items,Combo Items,Combo 2 Items,2,1,515,515,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,1220958,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Chicken curry is one of the favourite non-veg dishes in most Indian households.,"EAN Code': '1220958, Country of Origin': 'India, Sourced by': 'Ahmedabad -, Packed By': ""-Liza Foods. Add.Chuna'S Bhaththa Nr. Parixitlal Nagar Danilimda Ahmedabad-380028.Fssai License No:-20718034000476.""}, Marketed By -Super Market Grocery Supplies Private Limited, At -Rev. Surv. No.476/1, New Ahmedabad Estate, Opp': 'Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120., Marketed By -Super Market Grocery Supplies Private Limited, At -Rev.Surv. No.476/1, New Ahmedabad Estate, Opp': 'Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Email:-Customerservice@.Com Phone No:-18601231000, Indore - Packed By': '- Al-Ghori Khanne Khaas. :-Shop No, G-7, Paradise Tower, 1060 Khatiwala Tank, Indore, Madhya Pradesh-452014.Fssai License No:-21418850004121, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken Biryani Cut 1kg + Chicken Chilli Pieces Boneless 500 g, Combo 2 Items","Fresho Chicken - Biriyani Cut 1 kg
Chicken is lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. 
Net Weight 500 g
Number Of Pcs NA
Serving Size NA
Storage Temp 0-4 deg 
Now making chilli chicken at home is a hassle-free process. This chicken is perfectly cut and boneless. 
The Add-on Benefits of Fresho Chicken: 
 Free from antibiotic residue 
 No growth hormone 
Fresho Meats is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high-quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.",Combo 2 Items,Combo Items,Combo 2 Items,2,1,1103,647.9,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,1215097,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '1215097, Country Of Origin': 'India, Sourced by': ""Ahmedabad - Packed By:-Liza Foods. Add.Chuna'S Bhaththa Nr. Parixitlal Nagar Danilimda Ahmedabad-380028.Fssai License No:-20718034000476. Marketed By:-Super Market Grocery Suppliees Private Limited, At:-Rev.Surv. No.476/1, New Ahmedabad Estate, Opp:Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Marketed By:-Super Market Grocery Suppliees Private Limited, At:-Rev.Surv. No.476/1, New Ahmedabad Estate, Opp:Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Email:-Customerservice@.Com Phone No:-18601231000""}, Indore - Packed By': '- Al-Ghori Khanne Khaas. :-Shop No, G-7, Paradise Tower, 1060 Khatiwala Tank, Indore, Madhya Pradesh-452014.Fssai License No:-21418850004121, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken Bone B - Nutritious & Healthy, 1 Kg",Fresho brings you a range of fresh and ready-to-cooked chicken bones. We take utmost care in selecting the best suppliers to provide you with high-quality succulent products. The nutrients that are available in the bone are important for gut health. It helps reduce inflammation and improves the immune system.,1 Kg,Kg,1 Kg,1,1,399,399,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,40234962,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40234962, FSSAI No': ', Country of origin': 'India",Bigbasket,-,-,Chicken
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken Bones, 1 Kg","We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene. Additionally, every product is packed using food grade plastic which provides a nourishing and wholesome environment. Chef special marination is very authentic and has a fragrance that will delight your pallet, with its a mixture of exotic flavour and Indian spices.",1 Kg,Kg,1 Kg,1,1,64,64,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,40188266,1.28E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,To be cooked.,"EAN Code': '40188266, Country Of Origin': 'India, FSSAI NO': '12817008000332, Sourced & Marketed By': 'SUPER MARKET GROCERY SUPPLIES PVT. LTD., HOWRAH, PIN- 711313","SUPER MARKET GROCERY SUPPLIES PVT. LTD., HOWRAH, PIN- 711313",-,-,Chicken
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken Breast - Boneless 500 g + Basa Fish Fillet 500 g, Combo 2 Items","Chicken Breast - Boneless
Fresho Chicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart.
For a scrumptious meatier experience, this boneless chicken breast is perfect to indulge in. Grilled, barbecued, fried or baked, one can have this versatile cut in diverse ways. Moreover, this part is considered one of the nutritious parts of the bird. This is an excellent source of protein for your body. This cut comes in 2-4 pieces which are perfect for 2-3 people.
Basa Fish Fillet 
Basa is a catfish which is light in colour and has a firm texture. Enriched in protein, it contains low fat making it perfect for your diet. These Fresho Basa boneless fillets are great for grilling, frying, barbecuing or curries. This is perfect for 2-3 people. It is preservative-free.",Combo 2 Items,Combo Items,Combo 2 Items,2,1,791,549.1,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,1221169,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '1221169, Country of Origin': 'India, Sourced by': ""Ahmedabad - Packed By:-Liza Foods. Add.Chuna'S Bhaththa Nr. Parixitlal Nagar Danilimda Ahmedabad-380028.Fssai License No:-20718034000476. Marketed By:-Super Market Grocery Suppliees Private Limited, At:-Rev.Surv. No.476/1, New Ahmedabad Estate, Opp:Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Marketed By:-Super Market Grocery Suppliees Private Limited, At:-Rev.Surv. No.476/1, New Ahmedabad Estate, Opp:Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Email:-Customerservice@.Com Phone No:-18601231000""}, Indore - Packed By': '- Al-Ghori Khanne Khaas. :-Shop No, G-7, Paradise Tower, 1060 Khatiwala Tank, Indore, Madhya Pradesh-452014.Fssai License No:-21418850004121, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767, ","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,Chicken & Basa Fish.
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken Breast - Boneless 500 g + Chicken Drumstick Without Skin 500 g, Combo 2 Items","Fresho Chicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. 
Chicken Breast - Boneless
For a scrumptious meatier experience, this boneless chicken breast is perfect to indulge in. Grilled, barbecued, fried, or baked, one can have this versatile cut in diverse ways. Moreover, this part is considered one of the nutritious parts of the bird. This is an excellent source of protein for your body. This cut comes in 2-4 pieces which are perfect for 2-3 people.
Chicken Drumstick Without Skin 
This tender, juicy, without skin drumstick, gets flabbier once cooked. This is one of the most go-to pieces of chicken, as it is easy to cook. One can produce countless culinary methods to cook this deliciousness. Savoury, sweet, spicy, there are more than a hundred recipes to cook a drumstick. These scrumptious chicken pieces come in 4-6 in numbers which are perfect for 3-4 people.",Combo 2 Items,Combo Items,Combo 2 Items,2,1,920,920,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,1221168,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '1221168, Country of Origin': 'India, Sourced by': ""Ahmedabad - Packed By:-Liza Foods. Add.Chuna'S Bhaththa Nr. Parixitlal Nagar Danilimda Ahmedabad-380028.Fssai License No:-20718034000476. Marketed By:-Super Market Grocery Suppliees Private Limited, At:-Rev.Surv. No.476/1, New Ahmedabad Estate, Opp:Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Marketed By:-Super Market Grocery Suppliees Private Limited, At:-Rev.Surv. No.476/1, New Ahmedabad Estate, Opp:Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Email:-Customerservice@.Com Phone No:-18601231000""}, Indore - Packed By': '- Al-Ghori Khanne Khaas. :-Shop No, G-7, Paradise Tower, 1060 Khatiwala Tank, Indore, Madhya Pradesh-452014.Fssai License No:-21418850004121, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767, ","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,Chicken.
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken Breast - Boneless 500 g + Chicken Seekh Kabab Lime N Pudina 500 g, Combo 2 Items","Chicken Breast - Boneless
Chicken is lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. 
For a scrumptious meatier experience, this boneless chicken breast is perfect to indulge in. Grilled, barbecued, fried, or baked, one can have this versatile cut in diverse ways. Moreover, this part is considered one of the nutritious parts of the bird. This is an excellent source of protein for your body. This cut comes in 2-4 pieces which are perfect for 2-3 people. 
Chicken Seekh Kabab Lime N Pudina
Prepared in the traditional style, these lemon and pudina kebabs are made with the finest ingredients. Enjoy these delicious kababs at the convenience of your home. Perfect as a starter, relish these mouth-watering delights with your loved ones.",Combo 2 Items,Combo Items,Combo 2 Items,2,1,815,815,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,1221191,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '1221191, Country of Origin': 'India, Sourced by': ""Ahmedabad - Packed By:-Liza Foods. Add.Chuna'S Bhaththa Nr. Parixitlal Nagar Danilimda Ahmedabad-380028.Fssai License No:-20718034000476. Marketed By:-Super Market Grocery Suppliees Private Limited, At:-Rev.Surv. No.476/1, New Ahmedabad Estate, Opp:Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Marketed By:-Super Market Grocery Suppliees Private Limited, At:-Rev.Surv. No.476/1, New Ahmedabad Estate, Opp:Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Email:-Customerservice@.Com Phone No:-18601231000""}, Indore - Packed By': '- Al-Ghori Khanne Khaas. :-Shop No, G-7, Paradise Tower, 1060 Khatiwala Tank, Indore, Madhya Pradesh-452014.Fssai License No:-21418850004121, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767, ","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,Chicken.
